OE,Produkt,Teilprodukt,"Aufwand/
Ertrag",ILV,Kostenartengruppe,2014,2015,2016,2017,Abweichung 2016-2015,Abweichung 2017-2016
,,,,,19   sonstige ordentliche Aufwendungen, -      , -      , -      , -      , -      , -      
,1.100.1.1.1.27  Beitragswesen,,,,,-468780.08,-444279.25,-458887.29,-475835.83,-14608.04,-16948.54
,,1.100.1.1.1.27.01  Beitragswesen,,,,-408149.98,-400765.97,-458887.29,-459878.11,-58121.32,-990.82
,,,Aufwand,,,-586167.58,-570865.97,-650507.74,-633064.22,-79641.77,17443.52
,,,,nein,,-586167.58,-570865.97,-650507.74,-633064.22,-79641.77,17443.52
,,,,,13   Aufwendungen für aktives Personal,-444320.32,-438018.43,-508056.88,-492300.65,-70038.45,15756.23
,,,,,14   Aufwendungen für Versorgung,-36162.66,-53057.22,-54728.78,-58861.65,-1671.56,-4132.87
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-661.76,-634.04,-645.2,-601.16,-11.16,44.04
,,,,,16   Abschreibungen,-2663.77,-1990.4,-1822.04,-1467.84,168.36,354.2
,,,,,19   sonstige ordentliche Aufwendungen,-79596.06,-77165.88,-85254.84,-79832.92,-8088.96,5421.92
,,,,,24   außerordentliche Aufwendungen,-22763.01, -      , -      , -      , -      , -      
,,,Ertrag,,,178017.6,170100,191620.45,173186.11,21520.45,-18434.34
,,,,nein,,178017.6,170100,191620.45,173186.11,21520.45,-18434.34
,,,,,  5   öffentlich-rechtliche Entgelte,930,1200,1000,1000,-200, -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,168900,168900,164700,168300,-4200,3600
,,,,,11   sonstige ordentliche Erträge,8186.28, -      ,25920.45,3886.11,25920.45,-22034.34
,,,,,23   außerordentliche Erträge,1.32, -      , -      , -      , -      , -      
,,1.100.1.1.1.27.02  KMU-Förderung,,,,-60630.1,-43513.28, -      ,-15957.72,43513.28,-15957.72
,,,Aufwand,,,-74394.7,-53150.48, -      ,-16019.76,53150.48,-16019.76
,,,,nein,,-74394.7,-53150.48, -      ,-16019.76,53150.48,-16019.76
,,,,,13   Aufwendungen für aktives Personal,-54552.5,-39320.86, -      ,-9445.68,39320.86,-9445.68
,,,,,14   Aufwendungen für Versorgung,-8652.18,-8291.14, -      ,-939,8291.14,-939
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-43.3,-44.4, -      ,-42.12,44.4,-42.12
,,,,,16   Abschreibungen,-174.24,-139.44, -      ,-102.84,139.44,-102.84
,,,,,19   sonstige ordentliche Aufwendungen,-5224.62,-5354.64, -      ,-5490.12,5354.64,-5490.12
,,,,,24   außerordentliche Aufwendungen,-5747.86, -      , -      , -      , -      , -      
,,,Ertrag,,,13764.6,9637.2, -      ,62.04,-9637.2,62.04
,,,,nein,,13764.6,9637.2, -      ,62.04,-9637.2,62.04
,,,,,  2   Zuwendungen und allgemeine Umlagen,12176.54,9000, -      , -      ,-9000, -      
,,,,,11   sonstige ordentliche Erträge,2067.14, -      , -      ,62.04, -      ,62.04
,,,,,14   Aufwendungen für Versorgung,-479.17,637.2, -      , -      ,-637.2, -      
,,,,,23   außerordentliche Erträge,0.09, -      , -      , -      , -      , -      
,1.100.1.1.1.28  Beteiligungsmanagement,,,,,75213.52,21456.86,102490.45,99366.56,81033.59,-3123.89
,,1.100.1.1.1.28.01  Beteiligungscontrolling,,,,70824.93,23791.58,97928.57,113742.12,74136.99,15813.55
,,,Aufwand,,,-230970.46,-322408.42,-375234.42,-349281.72,-52826,25952.7
,,,,nein,,-230970.46,-322408.42,-375234.42,-349281.72,-52826,25952.7
,,,,,13   Aufwendungen für aktives Personal,-161056.48,-203216.27,-245725.97,-230369.75,-42509.7,15356.22
,,,,,14   Aufwendungen für Versorgung,-17248.45,-35848.03,-40461.01,-42759.73,-4612.98,-2298.72
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-728.57,-500.52,-509.96,-291.2,-9.44,218.76
,,,,,16   Abschreibungen,-1755.82,-1418.88,-1223.4,-485.88,195.48,737.52
,,,,,19   sonstige ordentliche Aufwendungen,-39323.82,-81424.72,-87314.08,-75375.16,-5889.36,11938.92
,,,,,24   außerordentliche Aufwendungen,-10857.32, -      , -      , -      , -      , -      
,,,Ertrag,,,301795.39,346200,473162.99,463023.84,126962.99,-10139.15
,,,,nein,,301795.39,346200,473162.99,463023.84,126962.99,-10139.15
,,,,,  7   Kostenerstattungen und Kostenumlagen,297890,346200,454000,460200,107800,6200
,,,,,11   sonstige ordentliche Erträge,3904.73, -      ,19162.99,2823.84,19162.99,-16339.15
,,,,,23   außerordentliche Erträge,0.66, -      , -      , -      , -      , -      
,,1.100.1.1.1.28.02  Holding OBG,,,,4388.59,-2334.72,4561.88,-14375.56,6896.6,-18937.44
,,,Aufwand,,,-45846.2,-47134.72,-50708.76,-70067.72,-3574.04,-19358.96
,,,,nein,,-45846.2,-47134.72,-50708.76,-70067.72,-3574.04,-19358.96
,,,,,13   Aufwendungen für aktives Personal,-42860.58,-43409.76,-46151.52,-52172.92,-2741.76,-6021.4
,,,,,14   Aufwendungen für Versorgung,-166.79,-265.08,-360.36,-1396.08,-95.28,-1035.72
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-62.09,-70.52,-70.68,-281.76,-0.16,-211.08
,,,,,16   Abschreibungen,-149.62,-199.8,-169.44,-470.24,30.36,-300.8
,,,,,19   sonstige ordentliche Aufwendungen,-2502.13,-3189.56,-3956.76,-15746.72,-767.2,-11789.96
,,,,,24   außerordentliche Aufwendungen,-104.99, -      , -      , -      , -      , -      
,,,Ertrag,,,50234.79,44800,55270.64,55692.16,10470.64,421.52
,,,,nein,,50234.79,44800,55270.64,55692.16,10470.64,421.52
,,,,,  7   Kostenerstattungen und Kostenumlagen,50196.96,44800,55100,55600,10300,500
,,,,,11   sonstige ordentliche Erträge,37.77, -      ,170.64,92.16,170.64,-78.48
,,,,,23   außerordentliche Erträge,0.06, -      , -      , -      , -      , -      
,1.100.1.1.1.38  Zins-u. Schuldenmanagement/ zentr. Aufg.,,,,,-279541.25,-306818.81,-271816.55,-291991.58,35002.26,-20175.03
,,1.100.1.1.1.38.01  Treasury,,,,-253142.71,-279650.24,-251886.78,-263565.92,27763.46,-11679.14
,,,Aufwand,,,-323788.68,-343950.24,-348519.22,-340402.16,-4568.98,8117.06
,,,,nein,,-323788.68,-343950.24,-348519.22,-340402.16,-4568.98,8117.06
,,,,,13   Aufwendungen für aktives Personal,-220586.64,-245166.64,-269799.64,-257151.64,-24633,12648
,,,,,14   Aufwendungen für Versorgung,-36354.98,-54001.2,-51798.46,-56576.88,2202.74,-4778.42
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-618.86,-634.68,-765.96,-798.24,-131.28,-32.28
,,,,,16   Abschreibungen,-10317.9,-4329.64,-660.6,-515.16,3669.04,145.44
,,,,,19   sonstige ordentliche Aufwendungen,-33026.21,-39818.08,-25494.56,-25360.24,14323.52,134.32
,,,,,24   außerordentliche Aufwendungen,-22884.09, -      , -      , -      , -      , -      
,,,Ertrag,,,70645.97,64300,96632.44,76836.24,32332.44,-19796.2
,,,,nein,,70645.97,64300,96632.44,76836.24,32332.44,-19796.2
,,,,,  7   Kostenerstattungen und Kostenumlagen,62400,64300,72100,73100,7800,1000
,,,,,11   sonstige ordentliche Erträge,8229.94, -      ,24532.44,3736.24,24532.44,-20796.2
,,,,,23   außerordentliche Erträge,16.03, -      , -      , -      , -      , -      
,,1.100.1.1.1.38.02  Fondsmanagement,,,,-26398.54,-27168.57,-19929.77,-28425.66,7238.8,-8495.89
,,,Aufwand,,,-80784.91,-81168.57,-80747.08,-84631.92,421.49,-3884.84
,,,,nein,,-80784.91,-81168.57,-80747.08,-84631.92,421.49,-3884.84
,,,,,13   Aufwendungen für aktives Personal,-59157.45,-62478.48,-64253.19,-65401.86,-1774.71,-1148.67
,,,,,14   Aufwendungen für Versorgung,-11065.31,-15999.53,-14394.09,-16752.06,1605.44,-2357.97
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-80.37,-74.16,-74.64,-93.24,-0.48,-18.6
,,,,,16   Abschreibungen,-1340.02,-505.72,-64.36,-60.24,441.36,4.12
,,,,,19   sonstige ordentliche Aufwendungen,-2176.73,-2110.68,-1960.8,-2324.52,149.88,-363.72
,,,,,24   außerordentliche Aufwendungen,-6965.03, -      , -      , -      , -      , -      
,,,Ertrag,,,54386.37,54000,60817.31,56206.26,6817.31,-4611.05
,,,,nein,,54386.37,54000,60817.31,56206.26,6817.31,-4611.05
,,,,,  7   Kostenerstattungen und Kostenumlagen,51879.43,54000,54000,55100, -      ,1100
,,,,,11   sonstige ordentliche Erträge,2504.86, -      ,6817.31,1106.26,6817.31,-5711.05
,,,,,23   außerordentliche Erträge,2.08, -      , -      , -      , -      , -      
,1.100.1.1.1.43  Rechnungswesen und Sondervermögen,,,,,-910772.1,-1058945.01,-1183679.16,-1182497.56,-124734.15,1181.6
,,1.100.1.1.1.43.01  Sondervermögen Klärwerk u.Kanalbetrieb,,,,-4631.13,-9639.49,-19769.88,-42572.04,-10130.39,-22802.16
,,,Aufwand,,,-223906.53,-231039.49,-262942.76,-281293.88,-31903.27,-18351.12
,,,,nein,,-223906.53,-231039.49,-262942.76,-281293.88,-31903.27,-18351.12
,,,,,13   Aufwendungen für aktives Personal,-205696.14,-214297.21,-209418.16,-205459.52,4879.05,3958.64
,,,,,14   Aufwendungen für Versorgung,-11086.28,-16538.76,-53279.68,-75587.52,-36740.92,-22307.84
,,,,,19   sonstige ordentliche Aufwendungen,-145.71,-203.52,-244.92,-246.84,-41.4,-1.92
,,,,,24   außerordentliche Aufwendungen,-6978.4, -      , -      , -      , -      , -      
,,,Ertrag,,,219275.4,221400,243172.88,238721.84,21772.88,-4451.04
,,,,nein,,219275.4,221400,243172.88,238721.84,21772.88,-4451.04
,,,,,  7   Kostenerstattungen und Kostenumlagen,216765.72,221400,231200,236900,9800,5700
,,,,,11   sonstige ordentliche Erträge,2509.68, -      ,11972.88,1821.84,11972.88,-10151.04
,,1.100.1.1.1.43.02  Finanzbuchhaltung / Konzernbilanz,,,,-406051.37,-467936.16,-549632.56,-518862.16,-81696.4,30770.4
,,,Aufwand,,,-414507.55,-467936.16,-555006.76,-519677.92,-87070.6,35328.84
,,,,nein,,-414507.55,-467936.16,-555006.76,-519677.92,-87070.6,35328.84
,,,,,13   Aufwendungen für aktives Personal,-194556.79,-217795.08,-285912.6,-249869.8,-68117.52,36042.8
,,,,,14   Aufwendungen für Versorgung, -      ,-5794.88,-11347.56,-12355.56,-5552.68,-1008
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-21075.94,-33470.88,-39961.64,-39958.04,-6490.76,3.6
,,,,,16   Abschreibungen,-167557.39,-156714.28,-134261.16,-133991.6,22453.12,269.56
,,,,,19   sonstige ordentliche Aufwendungen,-31317.43,-54161.04,-83523.8,-83502.92,-29362.76,20.88
,,,Ertrag,,,8456.18, -      ,5374.2,815.76,5374.2,-4558.44
,,,,nein,,8456.18, -      ,5374.2,815.76,5374.2,-4558.44
,,,,,  7   Kostenerstattungen und Kostenumlagen,8456.18, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge, -      , -      ,5374.2,815.76,5374.2,-4558.44
,,1.100.1.1.1.43.03  SAP_ Betreuung,,,,-500089.6,-581369.36,-614276.72,-621063.36,-32907.36,-6786.64
,,,Aufwand,,,-556689.6,-646269.36,-676717.04,-682288.08,-30447.68,-5571.04
,,,,nein,,-556689.6,-646269.36,-676717.04,-682288.08,-30447.68,-5571.04
,,,,,13   Aufwendungen für aktives Personal,-79571.25,-86839.28,-91052.09,-91731.24,-4212.81,-679.15
,,,,,14   Aufwendungen für Versorgung, -      ,-891.6,-4518.96,-4918.4,-3627.36,-399.44
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-9160.4,-30,-24.88,-24.16,5.12,0.72
,,,,,16   Abschreibungen,-983.19,-1130.64,-981.44,-971.84,149.2,9.6
,,,,,19   sonstige ordentliche Aufwendungen,-466974.76,-557377.84,-580139.67,-584642.44,-22761.83,-4502.77
,,,Ertrag,,,56600,64900,62440.32,61224.72,-2459.68,-1215.6
,,,,nein,,56600,64900,62440.32,61224.72,-2459.68,-1215.6
,,,,,  7   Kostenerstattungen und Kostenumlagen,56600,64900,60300,60900,-4600,600
,,,,,11   sonstige ordentliche Erträge, -      , -      ,2140.32,324.72,2140.32,-1815.6
(209) Sonderbudget Finanzen und Controlling,,,,,,261956810.34,268118101,274440867,283709716,6322766,9268849
,1.100.1.1.1.30  Beteiligungen/ Gesellschaften,,,,,-4959241.94,-6079820,-6068385,-5930258,11435,138127
,,1.100.1.1.1.30.02  Finanzbeziehungen Stadtwerke AG,,,,132772.04,1288200,1263200,1263200,-25000, -      
,,,Aufwand,,,-25702.09,-25000,-25000,-25000, -      , -      
,,,,nein,,-25702.09,-25000,-25000,-25000, -      , -      
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-623.56, -      , -      , -      , -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-25078.53,-25000,-25000,-25000, -      , -      
,,,Ertrag,,,158474.13,1313200,1288200,1288200,-25000, -      
,,,,nein,,158474.13,1313200,1288200,1288200,-25000, -      
,,,,,  8   Zinsen und ähnliche Finanzerträge,158474.13,1313200,1288200,1288200,-25000, -      
,,1.100.1.1.1.30.03  Finanzbeziehungen Klinikum Osnabrück,,,,-10726606,-167620,-167619,-163358,1,4261
,,,Aufwand,,,-10767618.51,-167620,-167619,-163358,1,4261
,,,,nein,,-10767618.51,-167620,-167619,-163358,1,4261
,,,,,16   Abschreibungen,-167618.51,-167620,-167619,-163358,1,4261
,,,,,18   Transferaufwendungen, -      , -      , -      , -      , -      , -      
,,,,,24   außerordentliche Aufwendungen,-10600000, -      , -      , -      , -      , -      
,,,Ertrag,,,41012.51, -      , -      , -      , -      , -      
,,,,nein,,41012.51, -      , -      , -      , -      , -      
,,,,,23   außerordentliche Erträge,41012.51, -      , -      , -      , -      , -      
,,1.100.1.1.1.30.05  Finanzbeziehungen OPG,,,,12170256.39,144750,123500,123500,-21250, -      
,,,Ertrag,,,12170256.39,144750,123500,123500,-21250, -      
,,,,nein,,12170256.39,144750,123500,123500,-21250, -      
,,,,,  8   Zinsen und ähnliche Finanzerträge,832000,144750,123500,123500,-21250, -      
,,,,,23   außerordentliche Erträge,11338256.39, -      , -      , -      , -      , -      
,,1.100.1.1.1.30.06  Finanzbeziehungen OMT,,,,-797667.45,-807700,-807700,-807700, -      , -      
,,,Aufwand,,,-797667.45,-807700,-807700,-807700, -      , -      
,,,,nein,,-797667.45,-807700,-807700,-807700, -      , -      
,,,,,18   Transferaufwendungen,-788467.45,-798500,-798500,-798500, -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-9200,-9200,-9200,-9200, -      , -      
,,1.100.1.1.1.30.07  Finanzbeziehungen WFO/ C.U.T.,,,,-653047.56,-407150,-421566,-422200,-14416,-634
,,,Aufwand,,,-888222.46,-560850,-480766,-480500,80084,266
,,,,nein,,-888222.46,-560850,-480766,-480500,80084,266
,,,,,16   Abschreibungen,-113118.77,-350,-266, -      ,84,266
,,,,,18   Transferaufwendungen,-775102.46,-560500,-480500,-480500,80000, -      
,,,,,24   außerordentliche Aufwendungen,-1.23, -      , -      , -      , -      , -      
,,,Ertrag,,,235174.9,153700,59200,58300,-94500,-900
,,,,nein,,235174.9,153700,59200,58300,-94500,-900
,,,,,  2   Zuwendungen und allgemeine Umlagen,125500.35,80000, -      , -      ,-80000, -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,30827.86,30000,30000,30000, -      , -      
,,,,,  8   Zinsen und ähnliche Finanzerträge,11054.13,43700,29200,28300,-14500,-900
,,,,,11   sonstige ordentliche Erträge,67792.56, -      , -      , -      , -      , -      
,,1.100.1.1.1.30.09  Finanzbeziehungen OVK,,,,-4909341,-5604900,-5532200,-5386700,72700,145500
,,,Aufwand,,,-4909341,-5604900,-5532200,-5386700,72700,145500
,,,,nein,,-4909341,-5604900,-5532200,-5386700,72700,145500
,,,,,18   Transferaufwendungen,-4909341,-5604900,-5532200,-5386700,72700,145500
,,1.100.1.1.1.30.26  Finanzbeziehungen OBG,,,,717758.76,506000,495400,484400,-10600,-11000
,,,Ertrag,,,717758.76,506000,495400,484400,-10600,-11000
,,,,nein,,717758.76,506000,495400,484400,-10600,-11000
,,,,,  8   Zinsen und ähnliche Finanzerträge,717448.35,506000,495400,484400,-10600,-11000
,,,,,23   außerordentliche Erträge,310.41, -      , -      , -      , -      , -      
,,1.100.1.1.1.30.27  Finanzbeziehungen ICO Innov.,,,, -      ,-150000,-140000,-140000,10000, -      
,,,Aufwand,,, -      ,-150000,-140000,-140000,10000, -      
,,,,nein,, -      ,-150000,-140000,-140000,10000, -      
,,,,,18   Transferaufwendungen, -      ,-150000,-140000,-140000,10000, -      
,,1.100.1.1.1.30.28  Finanzbeziehungen TOL,,,,-152725.89,-153400,-153400,-153400, -      , -      
,,,Aufwand,,,-159637.54,-153400,-153400,-153400, -      , -      
,,,,nein,,-159637.54,-153400,-153400,-153400, -      , -      
,,,,,18   Transferaufwendungen,-159637.54,-153400,-153400,-153400, -      , -      
,,,Ertrag,,,6911.65, -      , -      , -      , -      , -      
,,,,nein,,6911.65, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,6645.8, -      , -      , -      , -      , -      
,,,,,  8   Zinsen und ähnliche Finanzerträge,265.85, -      , -      , -      , -      , -      
,,1.100.1.1.1.30.29  Finanzbeziehungen ZOO,,,,-740641.23,-728000,-728000,-728000, -      , -      
,,,Aufwand,,,-740641.23,-728000,-728000,-728000, -      , -      
,,,,nein,,-740641.23,-728000,-728000,-728000, -      , -      
,,,,,18   Transferaufwendungen,-720314.23,-707600,-707600,-707600, -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-20327,-20400,-20400,-20400, -      , -      
,1.100.1.1.1.31  Eigenbetriebe,,,,,3801204.8,-3713388,-2727247,-2155003,986141,572244
,,1.100.1.1.1.31.12  Finanzbeziehungen zur VHS,,,,86017.47,-2980,-2983,-2983,-3, -      
,,,Aufwand,,,-2982.53,-2980,-2983,-2983,-3, -      
,,,,nein,,-2982.53,-2980,-2983,-2983,-3, -      
,,,,,16   Abschreibungen,-2982.53,-2980,-2983,-2983,-3, -      
,,,Ertrag,,,89000, -      , -      , -      , -      , -      
,,,,nein,,89000, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,89000, -      , -      , -      , -      , -      
,,1.100.1.1.1.31.14  Finanzbeziehungen zum SV Klärwerk u.Kana,,,,5739547.01,5509075,5233685,5864598,-275390,630913
,,,Aufwand,,,-24576.92,-28970,-27570,-27570,1400, -      
,,,,nein,,-24576.92,-28970,-27570,-27570,1400, -      
,,,,,16   Abschreibungen,-20966.4,-20970,-20970,-20970, -      , -      
,,,,,18   Transferaufwendungen,-3610.52,-8000,-6600,-6600,1400, -      
,,,Ertrag,,,5764123.93,5538045,5261255,5892168,-276790,630913
,,,,nein,,5764123.93,5538045,5261255,5892168,-276790,630913
,,,,,  5   öffentlich-rechtliche Entgelte,3776.91,4000,3300,3300,-700, -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,120100,100860,78955,80868,-21905,1913
,,,,,  8   Zinsen und ähnliche Finanzerträge,5640247.02,5433185,5179000,5808000,-254185,629000
,,1.100.1.1.1.31.15  Finanzbeziehungen Immobilien u.Gebäudema,,,,6455776.68,4197420,5067612,4980373,870192,-87239
,,,Ertrag,,,6455776.68,4197420,5067612,4980373,870192,-87239
,,,,nein,,6455776.68,4197420,5067612,4980373,870192,-87239
,,,,,  7   Kostenerstattungen und Kostenumlagen,1057100,1024170,1025012,1049848,842,24836
,,,,,  8   Zinsen und ähnliche Finanzerträge,4896676.68,3173250,4042600,3930525,869350,-112075
,,,,,23   außerordentliche Erträge,502000, -      , -      , -      , -      , -      
,,1.100.1.1.1.31.51  Finanzbeziehungen zum EB OSB,,,,-8480136.36,-13416903,-13025561,-12996991,391342,28570
,,,Aufwand,,,-17330408.77,-17704063,-17240553,-17264219,463510,-23666
,,,,nein,,-17330408.77,-17704063,-17240553,-17264219,463510,-23666
,,,,,16   Abschreibungen,-35582.77,-35590,-35542,-33208,48,2334
,,,,,18   Transferaufwendungen,-17294826,-17668473,-17205011,-17231011,463462,-26000
,,,Ertrag,,,8850272.41,4287160,4214992,4267228,-72168,52236
,,,,nein,,8850272.41,4287160,4214992,4267228,-72168,52236
,,,,,  3   Auflösungserträge aus Sonderposten,246.06,240,246,225,6,-21
,,,,,  7   Kostenerstattungen und Kostenumlagen,2468700,2228920,2156746,2209003,-72174,52257
,,,,,  8   Zinsen und ähnliche Finanzerträge,4998988.91,2058000,2058000,2058000, -      , -      
,,,,,11   sonstige ordentliche Erträge,1382337.44, -      , -      , -      , -      , -      
,1.100.1.1.1.32  Bebautes u.unbebautes Grundvermögen,,,,,-389196.39,-368510,-410807,-404371,-42297,6436
,,1.100.1.1.1.32.01  Verw.bebautes u.unbebautes Grundvermögen,,,,-389196.39,-368510,-410807,-404371,-42297,6436
,,,Aufwand,,,-437041.6,-381580,-431854,-425418,-50274,6436
,,,,nein,,-437041.6,-381580,-431854,-425418,-50274,6436
,,,,,  5   öffentlich-rechtliche Entgelte,-60, -      , -      , -      , -      , -      
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      , -      , -      , -      , -      , -      
,,,,,16   Abschreibungen,-428594.44,-381580,-431854,-425418,-50274,6436
,,,,,19   sonstige ordentliche Aufwendungen,-0.24, -      , -      , -      , -      , -      
,,,,,24   außerordentliche Aufwendungen,-8386.92, -      , -      , -      , -      , -      
,,,Ertrag,,,47845.21,13070,21047,21047,7977, -      
,,,,nein,,47845.21,13070,21047,21047,7977, -      
,,,,,  3   Auflösungserträge aus Sonderposten,13738.6,13070,21047,21047,7977, -      
,,,,,  6   privatrechtliche Entgelte,1350.5, -      , -      , -      , -      , -      
,,,,,23   außerordentliche Erträge,32756.11, -      , -      , -      , -      , -      
,1.100.4.1.1.01  KHG- Umlage,,,,,-1896289.28,-1800440,-1813299,-1764193,-12859,49106
,,1.100.4.1.1.01.19  KHG- Umlage,,,,-1896289.28,-1800440,-1813299,-1764193,-12859,49106
,,,Aufwand,,,-1896289.28,-1800440,-1813299,-1764193,-12859,49106
,,,,nein,,-1896289.28,-1800440,-1813299,-1764193,-12859,49106
,,,,,16   Abschreibungen,-1865377.28,-1769040,-1771499,-1722393,-2459,49106
,,,,,18   Transferaufwendungen,-30912,-31400,-41800,-41800,-10400, -      
,1.100.5.3.5.01  Kombinierte Versorgung,,,,,8525934.26,9039000,8239000,8239000,-800000, -      
,,1.100.5.3.5.01.01  Konzessionsabgaben,,,,8525934.26,9039000,8239000,8239000,-800000, -      
,,,Aufwand,,,-771791.12, -      , -      , -      , -      , -      
,,,,nein,,-771791.12, -      , -      , -      , -      , -      
,,,,,24   außerordentliche Aufwendungen,-771791.12, -      , -      , -      , -      , -      
,,,Ertrag,,,9297725.38,9039000,8239000,8239000,-800000, -      
,,,,nein,,9297725.38,9039000,8239000,8239000,-800000, -      
,,,,,11   sonstige ordentliche Erträge,9146610,9039000,8239000,8239000,-800000, -      
,,,,,23   außerordentliche Erträge,151115.38, -      , -      , -      , -      , -      
,1.100.5.5.3.01  Abwicklung Friedhofsgebühren,,,,,269059.89,269314,269314,269314, -      , -      
,,1.100.5.5.3.01.52  Abwicklung Friedhofsgebühren,,,,269059.89,269314,269314,269314, -      , -      
,,,Aufwand,,,-2562526.35,-2839185,-2788124,-2788124,51061, -      
,,,,nein,,-2562526.35,-2839185,-2788124,-2788124,51061, -      
,,,,,19   sonstige ordentliche Aufwendungen,-2562526.35,-2839185,-2788124,-2788124,51061, -      
,,,Ertrag,,,2831586.24,3108499,3057438,3057438,-51061, -      
,,,,nein,,2831586.24,3108499,3057438,3057438,-51061, -      
,,,,,  5   öffentlich-rechtliche Entgelte,2562272.24,2839185,2788124,2788124,-51061, -      
,,,,,  8   Zinsen und ähnliche Finanzerträge,269314,269314,269314,269314, -      , -      
,1.100.5.7.1.01  Stadthallenverpachtung BgA,,,,,-21466.9,47360,47361,47361,1, -      
,,1.100.5.7.1.01.24  Stadthallenverpachtung BgA,,,,-21466.9,47360,47361,47361,1, -      
,,,Aufwand,,,-273038.83,-273040,-273039,-273039,1, -      
,,,,nein,,-273038.83,-273040,-273039,-273039,1, -      
,,,,,16   Abschreibungen,-273038.83,-273040,-273039,-273039,1, -      
,,,Ertrag,,,251571.93,320400,320400,320400, -      , -      
,,,,nein,,251571.93,320400,320400,320400, -      , -      
,,,,,11   sonstige ordentliche Erträge,251571.93,320400,320400,320400, -      , -      
,1.100.5.7.3.03  Industriegleise (BgA),,,,,-9145.87, -      , -      , -      , -      , -      
,,1.100.5.7.3.03.25  Industriegleise (BgA),,,,-9145.87, -      , -      , -      , -      , -      
,,,Aufwand,,,-9145.87, -      , -      , -      , -      , -      
,,,,nein,,-9145.87, -      , -      , -      , -      , -      
,,,,,16   Abschreibungen,-9145.87, -      , -      , -      , -      , -      
,"1.100.6.1.1.01  Steuern, allg.Zuweisungen, allg.Umlagen",,,,,260182411.81,270558860,277057892,285437029,6499032,8379137
,,1.100.6.1.1.01.30  Gemeindliche Steuereinnahmen,,,,207037611.97,219160400,221442083,228977941,2281683,7535858
,,,Aufwand,,,-469184.92, -      , -      , -      , -      , -      
,,,,nein,,-469184.92, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge, -      , -      , -      , -      , -      , -      
,,,,,16   Abschreibungen,-466563.42, -      , -      , -      , -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-121.5, -      , -      , -      , -      , -      
,,,,,24   außerordentliche Aufwendungen,-2500, -      , -      , -      , -      , -      
,,,Ertrag,,,207506796.89,219160400,221442083,228977941,2281683,7535858
,,,,nein,,207506796.89,219160400,221442083,228977941,2281683,7535858
,,,,,  1   Steuern und ähnliche Abgaben,207408059.6,219020400,221302083,228837941,2281683,7535858
,,,,,  1  Steuern und ähnliche Abgaben, -      ,140000,140000,140000, -      , -      
,,,,,23   außerordentliche Erträge,98737.29, -      , -      , -      , -      , -      
,,1.100.6.1.1.01.31  weitere Finanzeinnahmen,,,,-3923275.76,1311100,1540000,1640000,228900,100000
,,,Aufwand,,,-7301579.11,-500000,-400000,-400000,100000, -      
,,,,nein,,-7301579.11,-500000,-400000,-400000,100000, -      
,,,,,  1   Steuern und ähnliche Abgaben,-140.19, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,-1.86, -      , -      , -      , -      , -      
,,,,,16   Abschreibungen,-899593.57, -      , -      , -      , -      , -      
,,,,,17   Zinsen und ähnliche Aufwendungen,-6394470.25,-500000,-400000,-400000,100000, -      
,,,,,19   sonstige ordentliche Aufwendungen,-6646.88, -      , -      , -      , -      , -      
,,,,,23   außerordentliche Erträge,-726.36, -      , -      , -      , -      , -      
,,,Ertrag,,,3378303.35,1811100,1940000,2040000,128900,100000
,,,,nein,,3378303.35,1811100,1940000,2040000,128900,100000
,,,,,  8   Zinsen und ähnliche Finanzerträge,2178681,1300000,1400000,1500000,100000,100000
,,,,,11   sonstige ordentliche Erträge,1199622.35,511100,540000,540000,28900, -      
,,1.100.6.1.1.01.32  allg.Zuweisungen,,,,74361646.6,67659460,72543148,73554550,4883688,1011402
,,,Ertrag,,,74361646.6,67659460,72543148,73554550,4883688,1011402
,,,,nein,,74361646.6,67659460,72543148,73554550,4883688,1011402
,,,,,  2   Zuwendungen und allgemeine Umlagen,71067184,64365000,69248702,70300014,4883702,1051312
