OE;Produkt;Teilprodukt;Kostenartengruppe;2018 (Plan);Ertrag/Aufwand;Interne Leist. 
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;19   sonstige ordentliche Aufwendungen;-5300;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;27   Aufw. aus int. Leistungsbeziehungen;-29834;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;13   Aufwendungen für aktives Personal;-175117;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;14   Aufwendungen für Versorgung;-27422;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;19   sonstige ordentliche Aufwendungen;-1606;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;16   Abschreibungen;-343;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.15 Allg. Verkehrslenkung;27   Aufw. aus int. Leistungsbeziehungen;-2489;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;5   öffentlich-rechtliche Entgelte;104000;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;19   sonstige ordentliche Aufwendungen;-3600;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;19   sonstige ordentliche Aufwendungen;-3100;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;27   Aufw. aus int. Leistungsbeziehungen;-10171;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;13   Aufwendungen für aktives Personal;-59699;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;14   Aufwendungen für Versorgung;-9348;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;19   sonstige ordentliche Aufwendungen;-1604;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;16   Abschreibungen;-343;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.16 Bewohnerparken;27   Aufw. aus int. Leistungsbeziehungen;-2487;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;5   öffentlich-rechtliche Entgelte;60000;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;11   sonstige ordentliche Erträge;1332;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;26   Erträge aus int. Leistungsbeziehungen;0;Ertrag;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-46900;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-44200;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-3100;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-9000;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-200;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-323;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-2791;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-17561;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-2617;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;13   Aufwendungen für aktives Personal;-800;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;14   Aufwendungen für Versorgung;-15635;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;14   Aufwendungen für Versorgung;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;14   Aufwendungen für Versorgung;-2899;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;14   Aufwendungen für Versorgung;-4152;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;14   Aufwendungen für Versorgung;-619;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;19   sonstige ordentliche Aufwendungen;-147;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;19   sonstige ordentliche Aufwendungen;-3800;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;27   Aufw. aus int. Leistungsbeziehungen;-22213;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;19   sonstige ordentliche Aufwendungen;-1604;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;16   Abschreibungen;-343;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.17 Großraum - u. Schwertransportgenehmigung;27   Aufw. aus int. Leistungsbeziehungen;-2487;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;5   öffentlich-rechtliche Entgelte;1000;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;18   Transferaufwendungen;-1500;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;19   sonstige ordentliche Aufwendungen;-600;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;27   Aufw. aus int. Leistungsbeziehungen;-2034;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;13   Aufwendungen für aktives Personal;-11940;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;14   Aufwendungen für Versorgung;-1870;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;19   sonstige ordentliche Aufwendungen;-1604;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;16   Abschreibungen;-343;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.18 sonst. Verkehrslenkungsangelegenheiten;27   Aufw. aus int. Leistungsbeziehungen;-2487;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;5   öffentlich-rechtliche Entgelte;400000;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;26   Erträge aus int. Leistungsbeziehungen;0;Ertrag;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;19   sonstige ordentliche Aufwendungen;-2500;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;27   Aufw. aus int. Leistungsbeziehungen;-14917;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;13   Aufwendungen für aktives Personal;-87559;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;14   Aufwendungen für Versorgung;-13711;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;19   sonstige ordentliche Aufwendungen;-1604;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;16   Abschreibungen;-343;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.19 Erteilung von Sondernutzungserlaubnissen;27   Aufw. aus int. Leistungsbeziehungen;-2487;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;15   Aufwendungen für Sach-/Dienstleistungen;-10000;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;27   Aufw. aus int. Leistungsbeziehungen;-2712;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;13   Aufwendungen für aktives Personal;-15920;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;14   Aufwendungen für Versorgung;-2493;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;19   sonstige ordentliche Aufwendungen;-1604;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;16   Abschreibungen;-343;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.20 Vergabe v.Veranstaltungsplätzen i.ö.Raum;27   Aufw. aus int. Leistungsbeziehungen;-2487;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.21 Demonstrationsrecht;27   Aufw. aus int. Leistungsbeziehungen;-1356;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.21 Demonstrationsrecht;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.21 Demonstrationsrecht;13   Aufwendungen für aktives Personal;-7960;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.21 Demonstrationsrecht;14   Aufwendungen für Versorgung;-1246;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.21 Demonstrationsrecht;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.21 Demonstrationsrecht;19   sonstige ordentliche Aufwendungen;-1604;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.21 Demonstrationsrecht;16   Abschreibungen;-343;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.21 Demonstrationsrecht;27   Aufw. aus int. Leistungsbeziehungen;-2487;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.22 Auftragsverwaltung OPG;11   sonstige ordentliche Erträge;650000;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.22 Auftragsverwaltung OPG;19   sonstige ordentliche Aufwendungen;-159000;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.22 Auftragsverwaltung OPG;17   Zinsen und ähnliche Aufwendungen;-200;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.22 Auftragsverwaltung OPG;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.22 Auftragsverwaltung OPG;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.22 Auftragsverwaltung OPG;19   sonstige ordentliche Aufwendungen;-1604;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.22 Auftragsverwaltung OPG;16   Abschreibungen;-370;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.22 Auftragsverwaltung OPG;27   Aufw. aus int. Leistungsbeziehungen;-2487;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;5   öffentlich-rechtliche Entgelte;10000;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;19   sonstige ordentliche Aufwendungen;-300;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;19   sonstige ordentliche Aufwendungen;-1300;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;27   Aufw. aus int. Leistungsbeziehungen;-6780;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;11   sonstige ordentliche Erträge;380;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;13   Aufwendungen für aktives Personal;-39799;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;14   Aufwendungen für Versorgung;-6232;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;15   Aufwendungen für Sach-/Dienstleistungen;-176;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;19   sonstige ordentliche Aufwendungen;-1604;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;16   Abschreibungen;-343;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.23 Ausnahmegenehmigungen für Umweltzone;27   Aufw. aus int. Leistungsbeziehungen;-2487;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.08 Verkehrslenkung und Sondernutzung;1.100.1.2.2.08.24 Werberechte DMS / Ströer;6   privatrechtliche Entgelte;160000;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
